url,article_title
https://www.cnbcindonesia.com/news/20240410132820-8-529653/video-akhirnya-indonesia-berhasil-kirim-bantuan-ke-gaza-via-hercules,Video: Akhirnya! Indonesia Berhasil Kirim Bantuan ke Gaza Via Hercules
https://www.cnbcindonesia.com/news/20240410110000-8-529628/israel-serang-palestina-di-malam-takbiran-14-orang-tewas,"Israel Serang Palestina di Malam Takbiran, 14 Orang Tewas"
https://www.cnbcindonesia.com/news/20240409232002-7-529569/potret-militer-yordania-jatuhkan-paket-bantuan-lebaran-ke-gaza,Potret Militer Yordania Jatuhkan Paket Bantuan Lebaran ke Gaza
https://www.cnbcindonesia.com/market/20240410082319-17-529588/negosiasi-israel-hamas-masih-alot-harga-minyak-dunia-mendingin,"Negosiasi Israel-Hamas Masih Alot, Harga Minyak Dunia Mendingin"
https://www.cnbcindonesia.com/news/20240410073232-4-529583/erdogan-nekat-hukum-netanyahu-israel-siap-balas-dendam,"Erdogan Nekat Hukum Netanyahu, Israel Siap Balas Dendam"
https://www.cnbcindonesia.com/news/20240409200039-8-529550/video-rusia-dukung-keanggotaan-tetap-palestina-di-pbb,Video: Rusia Dukung Keanggotaan Tetap Palestina Di PBB
https://www.cnbcindonesia.com/research/20240409133822-128-529496/jalur-rafah-jadi-harapan-hidup-jutaan-warga-palestina,Jalur Rafah Jadi Harapan Hidup Jutaan Warga Palestina
https://www.cnbcindonesia.com/news/20240409055046-4-529437/negosiasi-israel-hamas-di-mesir-gagal-netanyahu-siap-invasi-rafah,"Negosiasi Israel-Hamas di Mesir Gagal, Netanyahu Siap Invasi Rafah"
https://www.cnbcindonesia.com/news/20240408183743-7-529410/potret-palestina-sambut-idulfitri-dalam-bayang-bayang-perang-gaza,Potret Palestina Sambut Idulfitri dalam Bayang-Bayang Perang Gaza
https://www.cnbcindonesia.com/news/20240408101115-4-529301/warga-israel-panic-buying-takut-diamuk-iran,"Warga Israel Panic Buying, Takut Diamuk Iran"
https://www.cnbcindonesia.com/news/20240407191349-7-529238/detik-detik-israel-tembak-gas-air-mata-di-al-aqsa-jamaah-berhamburan,"Detik-Detik Israel Tembak Gas Air Mata di Al Aqsa, Jamaah Berhamburan"
https://www.cnbcindonesia.com/news/20240407122249-8-529168/video-jelang-lebaran-israel-masih-serang-gaza,"Video: Jelang Lebaran, Israel Masih Serang Gaza"
https://www.cnbcindonesia.com/news/20240407085257-4-529129/pbb-buka-suara-soal-perang-gaza-tonggak-sejarah-yang-mengerikan,PBB Buka Suara Soal Perang Gaza: Tonggak Sejarah yang Mengerikan
https://www.cnbcindonesia.com/news/20240406090854-4-528953/ketua-pbb-ngamuk-besar-ke-israel-sorot-penggunaan-ai-oleh-militer,"Ketua PBB Ngamuk Besar ke Israel, Sorot Penggunaan AI Oleh Militer"
https://www.cnbcindonesia.com/news/20240405112700-7-528652/warga-polandia-beri-penghormatan-ke-relawan-yang-gugur-dibunuh-israel,Warga Polandia Beri Penghormatan ke Relawan yang Gugur Dibunuh Israel
https://www.cnbcindonesia.com/news/20240405145106-4-528783/ultimatum-biden-bikin-netanyahu-ciut-israel-akhirnya-lakukan-ini,"Ultimatum Biden Bikin Netanyahu 'Ciut', Israel Akhirnya Lakukan Ini"
https://www.cnbcindonesia.com/news/20240405100233-7-528595/israel-bunuh-relawan-internasional-kapal-bantuan-ini-balik-kanan,"Israel Bunuh Relawan Internasional, Kapal Bantuan Ini 'Balik Kanan'"
https://www.cnbcindonesia.com/news/20240405075905-8-528545/video-6-bulan-agresi-israel-korban-tewas-tembus-33-ribu-jiwa,"Video: 6 Bulan Agresi Israel, Korban Tewas Tembus 33 Ribu Jiwa"
https://www.cnbcindonesia.com/news/20240405104705-4-528625/biden-ultimatum-netanyahu-israel-kini-hadapi-ancaman-nyata-dari-as,"Biden Ultimatum Netanyahu, Israel Kini Hadapi Ancaman Nyata dari AS"
https://www.cnbcindonesia.com/tech/20240405094658-37-528587/apple-pecat-karyawan-palestina-bos-besar-didemo,"Apple Pecat Karyawan Palestina, Bos Besar Didemo"
https://www.cnbcindonesia.com/news/20240404135701-4-528328/bos-hamas-tuntut-gencatan-senjata-permanen-begini-respons-israel,"Bos Hamas Tuntut Gencatan Senjata Permanen, Begini Respons Israel"
