;content_title
189;Hamas Siap Gencatan Senjata jika Israel Lakukan Hal yang Sama
190;Menlu Finlandia: Waktu Israel untuk Membela Diri Sudah Habis
191;Jokowi Tegaskan Pelabuhan RI Tak Akan Digunakan untuk Kepentingan Israel   
192;Netanyahu Tolak Kemerdekaan Palestina, Jokowi: Ini Tidak Dapat Diterima   
193;20 Warga Palestina Tewas Saat Mengantre Bantuan Makanan di Gaza   
194;Israel Harap ICJ Tolak Tuduhan Genosida di Gaza
195;Suara Rentetan Tembakan Iringi Warga Palestina Mengungsi dari Khan Younis Gaza
196;Tank-tank Israel Gempur RS Gaza Selatan, Pengungsi Terancam   
197;Serangan Israel ke Gaza Kian Intens, Warga Mengungsi dari Khan Younis
198;Israel Serang Pusat Pelatihan PBB di Gaza, Amerika Serikat: Warga Sipil Seharusnya DIlindungi
199;Presiden Iran ke Turkiye, Raisi Ajak Erdogan Hentikan Kekejaman Israel
200;Timnas Palestina Cetak Sejarah di Piala Asia 2023 Saat Negaranya Tengah Dilanda Konflik
201;Houthi Serang Kapal Militer AS, Pertempuran Berlangsung Selama 2 Jam
202;Israel Hancurkan Terowongan yang Ditemukan di Dekat Perbatasan Jalur Gaza
203;Sekolah Labschool UNJ Beri Dukungan untuk Kemerdekaan Anak Palestina   
204;12 Orang Tewas, 75 Terluka dalam Penembakan Kamp Penampungan PBB di Gaza   
205;Negosiasi Gencatan Senjata Israel dengan Hamas Buntu
206;Serangan Israel Semakin Intens, Warga Palestina Pergi Tinggalkan Khan Younis
207;Kecam Serangan Israel ke Fasilitas PBB di Gaza, Kemenlu RI: Menambah Daftar Pelanggaran
208;Detik-detik Warga Tertembak di Khan Younis Saat Ingin Selamatkan Keluarganya
209;Presiden Iran Tuduh PBB Tak Berdaya Mengatasi Konflik di Gaza
210;Kemenlu Kutuk Keras Serangan Israel ke Fasilitas Penampungan PBB di Khan Younis   
211;Di Hadapan DK PBB, Menlu Retno Serukan Pasokan Senjata ke Israel Dihentikan
212;Piala Asia 2023: Lolos 16 Besar, Singa Kanaan Penuhi Janji Rakyat Palestina   
213;Serangan Israel Hantam Masjid di Rafah Gaza, 5 Orang Tewas
214;Menlu Retno Walk Out Saat Dubes Israel Bicara di Debat Terbuka DK PBB
215;Tolak Pernyataan PM Israel, Retno Marsudi: Sangat Berbahaya, Tidak Bisa Diterima!
216;Menlu Retno: Hentikan Pasokan Senjata ke Israel!    
217;Menlu Turkiye: Dunia Gagal Hentikan Pertumpahan Darah di Gaza
218;Tujuh Warga Palestina Tewas dalam Serangan Terbaru Israel
